image,mask,reference,type,utility
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_00.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_00_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_01.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_01_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_02.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_02_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_03.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_03_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_04.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_04_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_05.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_05_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_06.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_06_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_07.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_013/acc_07_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/013.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_00.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_00_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_01.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_01_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_02.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_02_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_03.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_03_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_04.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_04_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_05.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_05_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_06.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_06_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_07.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_034/acc_07_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/034.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_00.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_00_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/059.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_01.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_01_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/059.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_02.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_02_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/059.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_03.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_03_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/059.png,defect,1.0
/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_04.png,/data/chenjiawen/MissingBoundary/outputs/generated_v3_visa_clean/pipe_fryum/blind_defect/sample_059/acc_04_mask.png,/data/chenjiawen/MissingBoundary/outputs/visa_datasets/pipe_fryum/train/good/059.png,defect,1.0
